xq2_bin,z_bin_phi,pt2_bin_phi,phi_content_sum,phi_bin_count,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,spec_content,error,_merge,diff(phiSum - spec),ratio(phiSum/spec)
1,6,3,2720.5582,8,5,2,5.0,2.0,2292.91,91.0295,both,427.6482000000001,1.1865089340619563
1,6,4,2359.3169,8,5,3,5.0,3.0,1993.38,108.73,both,365.9368999999997,1.183576086847465
1,6,5,4541.6611,8,5,4,5.0,4.0,3860.31,192.249,both,681.3511000000003,1.1765016540122426
1,6,6,3873.19,8,5,5,5.0,5.0,3369.0,172.15,both,504.19000000000005,1.1496556841792818
1,6,7,3447.3529999999996,8,5,6,5.0,6.0,2949.37,177.41,both,497.9829999999997,1.1688438547893278
1,6,8,3980.401,8,5,7,5.0,7.0,3333.32,157.665,both,647.0809999999997,1.194125076500306
1,6,9,2491.797,8,5,8,5.0,8.0,2123.2,116.611,both,368.5970000000002,1.1736044649585533
1,6,10,1850.1744999999999,8,5,9,5.0,9.0,1577.79,63.5759,both,272.3844999999999,1.1726367260535304
1,6,11,1044.1417000000001,8,5,10,5.0,10.0,872.904,50.2963,both,171.23770000000013,1.1961701401299571
1,7,1,2421.2875,8,6,0,6.0,0.0,2091.94,175.549,both,329.34749999999985,1.157436398749486
1,7,2,2013.1151,8,6,1,6.0,1.0,1724.26,167.172,both,288.8551,1.1675240972939116
1,7,3,1756.5013999999999,8,6,2,6.0,2.0,1544.11,108.511,both,212.39139999999998,1.1375493973874917
1,7,4,1467.0448999999999,8,6,3,6.0,3.0,1293.52,77.8553,both,173.5248999999999,1.134149375347888
1,7,5,2662.132,8,6,4,6.0,4.0,2265.46,127.539,both,396.672,1.1750955655805002
1,7,6,2157.085,8,6,5,6.0,5.0,1891.96,142.335,both,265.125,1.1401324552316117
1,7,7,1854.284,8,6,6,6.0,6.0,1562.27,109.387,both,292.0140000000001,1.1869164741049882
1,7,8,1786.85,8,6,7,6.0,7.0,1518.69,104.022,both,268.15999999999985,1.1765732308766106
1,7,9,869.2665999999999,8,6,8,6.0,8.0,769.301,60.9134,both,99.96559999999988,1.129943416166104
1,7,10,357.0542,8,6,9,6.0,9.0,310.344,44.1898,both,46.710199999999986,1.1505110458072332
1,7,11,45.2132,8,6,10,6.0,10.0,76.4372,15.3351,both,-31.224000000000004,0.5915077998670804
1,8,1,855.091,8,7,0,7.0,0.0,676.642,90.0807,both,178.44899999999996,1.2637273476964184
1,8,2,499.977,8,7,1,7.0,1.0,443.909,40.5833,both,56.067999999999984,1.1263051661489178
1,8,3,377.65099999999995,8,7,2,7.0,2.0,316.81,68.6543,both,60.84099999999995,1.1920425491619582
1,8,4,304.6269,8,7,3,7.0,3.0,251.006,31.0566,both,53.62089999999998,1.2136239771160848
1,8,5,355.0296,8,7,4,7.0,4.0,297.54,39.8102,both,57.489599999999996,1.1932163742690058
1,8,6,149.922,8,7,5,7.0,5.0,169.46,31.3905,both,-19.53800000000001,0.8847043550100319
1,8,7,37.9604,8,7,6,7.0,6.0,43.443,15.0784,both,-5.482599999999998,0.8737978500563958
1,8,8,0.0,8,7,7,7.0,7.0,0.0,0.0,both,0.0,
1,8,9,0.0,8,7,8,7.0,8.0,0.0,0.0,both,0.0,
1,8,10,0.0,8,7,9,7.0,9.0,0.0,0.0,both,0.0,
1,8,11,0.0,8,7,10,7.0,10.0,0.0,0.0,both,0.0,
2,1,1,2199.7149999999997,8,0,0,0.0,0.0,2212.8,669.246,both,-13.085000000000491,0.9940866775126534
2,1,2,2264.4183,8,0,1,0.0,1.0,2112.11,472.587,both,152.3082999999997,1.0721119165194992
2,1,3,1563.4819,8,0,2,0.0,2.0,1452.09,257.185,both,111.39190000000008,1.0767114297323168
2,1,4,770.58,8,0,3,0.0,3.0,800.832,146.415,both,-30.251999999999953,0.9622242867417886
2,1,5,313.9103,8,0,4,0.0,4.0,326.344,56.634,both,-12.433699999999988,0.9619000196112079
2,1,6,0.0,8,0,5,0.0,5.0,0.0,0.0,both,0.0,
2,1,7,0.0,8,0,6,0.0,6.0,0.0,0.0,both,0.0,
2,1,8,0.0,8,0,7,0.0,7.0,0.0,0.0,both,0.0,
2,1,9,0.0,8,0,8,0.0,8.0,0.0,0.0,both,0.0,
2,1,10,0.0,8,0,9,0.0,9.0,0.0,0.0,both,0.0,
2,1,11,0.0,8,0,10,0.0,10.0,0.0,0.0,both,0.0,
2,2,1,20748.945,8,1,0,1.0,0.0,17624.4,3151.27,both,3124.5449999999983,1.1772851841764824
2,2,2,17328.468,8,1,1,1.0,1.0,14901.3,1920.75,both,2427.1680000000015,1.1628829699422198
2,2,3,16166.071,8,1,2,1.0,2.0,14372.7,1295.82,both,1793.3709999999992,1.1247762076714882
2,2,4,11477.222,8,1,3,1.0,3.0,10157.0,803.543,both,1320.2219999999998,1.1299814905976173
2,2,5,12377.406,8,1,4,1.0,4.0,10730.6,718.981,both,1646.8060000000005,1.153468212401916
2,2,6,4307.2,8,1,5,1.0,5.0,3701.67,216.962,both,605.5299999999997,1.1635829233832296
2,2,7,1189.09,8,1,6,1.0,6.0,998.488,129.977,both,190.60199999999986,1.1908906266274606
2,2,8,178.97,8,1,7,1.0,7.0,213.444,25.6553,both,-34.47399999999999,0.8384869099154814
2,2,9,0.0,8,1,8,1.0,8.0,0.0,0.0,both,0.0,
2,2,10,0.0,8,1,9,1.0,9.0,0.0,0.0,both,0.0,
2,2,11,0.0,8,1,10,1.0,10.0,0.0,0.0,both,0.0,
2,3,1,16439.561999999998,8,2,0,2.0,0.0,12812.1,999.303,both,3627.4619999999977,1.2831278244784226
2,3,2,13786.7107,8,2,1,2.0,1.0,11369.7,650.158,both,2417.010699999999,1.212583507040643
2,3,3,12734.6939,8,2,2,2.0,2.0,10774.9,429.411,both,1959.7939000000006,1.1818851126228551
2,3,4,12449.698,8,2,3,2.0,3.0,10755.9,399.735,both,1693.7980000000007,1.1574761758662688
2,3,5,18249.563000000002,8,2,4,2.0,4.0,15733.0,700.515,both,2516.563000000002,1.1599544270005722
2,3,6,10265.53,8,2,5,2.0,5.0,8762.24,266.912,both,1503.2900000000009,1.1715645770944416
2,3,7,5061.887,8,2,6,2.0,6.0,4286.21,179.753,both,775.6769999999997,1.1809703677607957
2,3,8,3073.076,8,2,7,2.0,7.0,2591.24,96.8261,both,481.83600000000024,1.1859480403204645
2,3,9,889.8269,8,2,8,2.0,8.0,785.536,77.4833,both,104.29090000000008,1.1327639980853839
2,3,10,169.2702,8,2,9,2.0,9.0,161.762,38.5925,both,7.508199999999988,1.046415103670825
2,3,11,0.0,8,2,10,2.0,10.0,0.0,0.0,both,0.0,
2,4,1,10112.804,8,3,0,3.0,0.0,8253.81,498.267,both,1858.9940000000006,1.2252285914020313
2,4,2,8487.878,8,3,1,3.0,1.0,6985.17,359.859,both,1502.7080000000005,1.2151283361750682
2,4,3,6882.003,8,3,2,3.0,2.0,5887.79,333.034,both,994.2129999999997,1.1688601325794568
