# ix,iz,iPt,ratio_corr
9,2,7,0.0559284
9,2,8,0.0341621
9,2,9,0.0119724
9,2,10,0.000153096
9,2,11,0
9,3,1,0.0248787
9,3,2,0.0406453
9,3,3,0.0541897
9,3,4,0.0672921
9,3,5,0.0833845
9,3,6,0.0992084
9,3,7,0.111319
9,3,8,0.120027
9,3,9,0.118219
9,3,10,0.0928584
9,3,11,0.0411684
9,4,1,0.0256734
9,4,2,0.0394648
9,4,3,0.0508147
9,4,4,0.0605487
9,4,5,0.0767637
9,4,6,0.0941062
9,4,7,0.107889
9,4,8,0.120817
9,4,9,0.1346
9,4,10,0.143832
9,4,11,0.150551
9,5,1,0.0317685
9,5,2,0.0424294
9,5,3,0.0502885
9,5,4,0.0590533
9,5,5,0.0715146
9,5,6,0.0885644
9,5,7,0.101561
9,5,8,0.114615
9,5,9,0.126164
9,5,10,0.139496
9,5,11,0.159992
9,6,1,0.0389052
9,6,2,0.0463392
9,6,3,0.0509639
9,6,4,0.0564669
9,6,5,0.0677447
9,6,6,0.0803185
9,6,7,0.0925094
9,6,8,0.105579
9,6,9,0.118823
9,6,10,0.137899
9,6,11,0.14988
9,7,1,0.0463066
9,7,2,0.051772
9,7,3,0.0547448
9,7,4,0.0583956
9,7,5,0.0676339
9,7,6,0.0774989
9,7,7,0.088822
9,7,8,0.103837
9,7,9,0.110247
9,7,10,0.118553
9,7,11,0.103151
9,8,1,0.0449902
9,8,2,0.0525587
9,8,3,0.0519909
9,8,4,0.0513072
9,8,5,0.0571578
9,8,6,0.0616604
9,8,7,0.0503698
9,8,8,0.0132475
9,8,9,0
9,8,10,0
9,8,11,0
10,1,1,0.000967613
10,1,2,0.0022428
10,1,3,0.00344718
10,1,4,0.00356273
10,1,5,0.00215407
10,1,6,5.98457e-05
10,1,7,0
10,1,8,0
10,1,9,0
10,1,10,0
10,1,11,0
10,2,1,0.0243503
10,2,2,0.0391233
10,2,3,0.0491619
10,2,4,0.0537669
10,2,5,0.0525525
10,2,6,0.0415777
10,2,7,0.0266307
10,2,8,0.011859
10,2,9,0.00146095
10,2,10,0
10,2,11,0
10,3,1,0.0410049
10,3,2,0.0532511
10,3,3,0.0633427
10,3,4,0.0752048
10,3,5,0.0881028
10,3,6,0.0932274
10,3,7,0.093813
10,3,8,0.0894316
10,3,9,0.0702633
10,3,10,0.0439219
10,3,11,0.0151415
10,4,1,0.0543896
10,4,2,0.0595757
10,4,3,0.0659751
10,4,4,0.0748043
10,4,5,0.0902311
10,4,6,0.10516
10,4,7,0.113563
10,4,8,0.118119
10,4,9,0.118005
10,4,10,0.119743
10,4,11,0.116421
10,5,1,0.0708471
10,5,2,0.0645894
10,5,3,0.0671918
10,5,4,0.071741
10,5,5,0.0861377
10,5,6,0.101464
10,5,7,0.113662
10,5,8,0.123657
10,5,9,0.129333
10,5,10,0.141185
10,5,11,0.154071
10,6,1,0.0866742
10,6,2,0.0747172
10,6,3,0.0700062
10,6,4,0.0721744
10,6,5,0.0809645
10,6,6,0.0940785
10,6,7,0.107797
10,6,8,0.125657
10,6,9,0.1332
10,6,10,0.148709
10,6,11,0.143724
10,7,1,0.101758
10,7,2,0.0862545
10,7,3,0.0797434
10,7,4,0.0796957
10,7,5,0.0861393
10,7,6,0.094073
10,7,7,0.102398
10,7,8,0.112117
10,7,9,0.117321
10,7,10,0.0775182
10,7,11,0
10,8,1,0.0912462
10,8,2,0.0662738
10,8,3,0.065234
10,8,4,0.0506727
10,8,5,0.0559737
10,8,6,0.0234254
10,8,7,0
10,8,8,0
10,8,9,0
10,8,10,0
10,8,11,0
11,1,1,0.000274542
11,1,2,0.000477784
11,1,3,0.000618748
11,1,4,0.000572332
11,1,5,0.000143424
11,1,6,0
11,1,7,0
11,1,8,0
11,1,9,0
11,1,10,0
11,1,11,0
11,2,1,0.0240809
11,2,2,0.0267005
11,2,3,0.0285316
11,2,4,0.0276298
11,2,5,0.0226374
11,2,6,0.0125138
11,2,7,0.00514471
11,2,8,0.000764221
11,2,9,0
11,2,10,0
11,2,11,0
11,3,1,0.0591404
11,3,2,0.0594263
11,3,3,0.0601225
11,3,4,0.0647874
11,3,5,0.0668656
11,3,6,0.0604117
11,3,7,0.051874
11,3,8,0.0396234
11,3,9,0.0241414
11,3,10,0.0114263
11,3,11,0
11,4,1,0.0859549
11,4,2,0.0736165
11,4,3,0.0740299
11,4,4,0.0779468
11,4,5,0.087158
11,4,6,0.0923846
11,4,7,0.0902157
11,4,8,0.0841664
11,4,9,0.0807336
11,4,10,0.0804916
11,4,11,0.0741035
11,5,1,0.116114
11,5,2,0.0851564
11,5,3,0.0782805
11,5,4,0.0796095
11,5,5,0.0903
11,5,6,0.102385
11,5,7,0.112563
11,5,8,0.117017
11,5,9,0.118157
11,5,10,0.127624
11,5,11,0.120733
11,6,1,0.139703
11,6,2,0.103465
11,6,3,0.0874904
11,6,4,0.0832905
11,6,5,0.0910102
11,6,6,0.104864
11,6,7,0.120249
11,6,8,0.132856
11,6,9,0.128141
11,6,10,0.105811
11,6,11,0
11,7,1,0.167406
11,7,2,0.127364
11,7,3,0.105196
11,7,4,0.0905049
11,7,5,0.0914833
11,7,6,0.0942714
11,7,7,0.09034
11,7,8,0.0816289
11,7,9,0
11,7,10,0
11,7,11,0
11,8,1,0.0939458
11,8,2,0.0562884
11,8,3,0
11,8,4,0
11,8,5,0
11,8,6,0
11,8,7,0
11,8,8,0
11,8,9,0
11,8,10,0
11,8,11,0
12,1,1,7.09664e-06
12,1,2,3.98288e-06
12,1,3,2.57938e-06
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,0
