# ix,iz,iPt,ratio_corr
13,4,6,0.0382292
13,4,7,0.0371527
13,4,8,0.0256092
13,4,9,0
13,4,10,0
13,4,11,0
13,5,1,0.104278
13,5,2,0.0706277
13,5,3,0.0524899
13,5,4,0.0464349
13,5,5,0.0481858
13,5,6,0.0486113
13,5,7,0.035012
13,5,8,0
13,5,9,0
13,5,10,0
13,5,11,0
13,6,1,0.142637
13,6,2,0.102698
13,6,3,0.075982
13,6,4,0.0591456
13,6,5,0.0524031
13,6,6,0
13,6,7,0
13,6,8,0
13,6,9,0
13,6,10,0
13,6,11,0
13,7,1,0.071065
13,7,2,0
13,7,3,0
13,7,4,0
13,7,5,0
13,7,6,0
13,7,7,0
13,7,8,0
13,7,9,0
13,7,10,0
13,7,11,0
13,8,1,0
13,8,2,0
13,8,3,0
13,8,4,0
13,8,5,0
13,8,6,0
13,8,7,0
13,8,8,0
13,8,9,0
13,8,10,0
13,8,11,0
14,1,1,0.0016891
14,1,2,0.00400585
14,1,3,0.00668273
14,1,4,0.00725805
14,1,5,0.00461868
14,1,6,0.000330462
14,1,7,0
14,1,8,0
14,1,9,0
14,1,10,0
14,1,11,0
14,2,1,0.0253116
14,2,2,0.0432345
14,2,3,0.056914
14,2,4,0.0654601
14,2,5,0.0714616
14,2,6,0.0639286
14,2,7,0.0449117
14,2,8,0.0229945
14,2,9,0.00418944
14,2,10,0
14,2,11,0
14,3,1,0.0376319
14,3,2,0.0510334
14,3,3,0.0630651
14,3,4,0.0743842
14,3,5,0.0884436
14,3,6,0.101407
14,3,7,0.109509
14,3,8,0.113776
14,3,9,0.102543
14,3,10,0.0723565
14,3,11,0.0278618
14,4,1,0.0447653
14,4,2,0.0545977
14,4,3,0.0639712
14,4,4,0.0718236
14,4,5,0.0869894
14,4,6,0.102088
14,4,7,0.113433
14,4,8,0.124141
14,4,9,0.132144
14,4,10,0.138519
14,4,11,0.145811
14,5,1,0.0572397
14,5,2,0.0597501
14,5,3,0.0665952
14,5,4,0.0705159
14,5,5,0.0831954
14,5,6,0.097725
14,5,7,0.109819
