# ix,iz,iPt,ratio_corr
11,4,3,0.0603198
11,4,4,0.0655249
11,4,5,0.0739485
11,4,6,0.0773188
11,4,7,0.0748795
11,4,8,0.0704569
11,4,9,0.0684475
11,4,10,0.0689229
11,4,11,0.0518493
11,5,1,0.0576151
11,5,2,0.0565273
11,5,3,0.0667235
11,5,4,0.0679923
11,5,5,0.0770855
11,5,6,0.0871046
11,5,7,0.0950112
11,5,8,0.100519
11,5,9,0.100703
11,5,10,0.108836
11,5,11,0.0675085
11,6,1,0.0881224
11,6,2,0.0887465
11,6,3,0.0755355
11,6,4,0.0705427
11,6,5,0.0787652
11,6,6,0.0903372
11,6,7,0.103562
11,6,8,0.116662
11,6,9,0.117755
11,6,10,0.0742161
11,6,11,0
11,7,1,0.146357
11,7,2,0.110191
11,7,3,0.0917457
11,7,4,0.0788785
11,7,5,0.0811712
11,7,6,0.0836058
11,7,7,0.0812757
11,7,8,0.058415
11,7,9,0
11,7,10,0
11,7,11,0
11,8,1,0.0739874
11,8,2,0.0525093
11,8,3,0.0117685
11,8,4,0
11,8,5,0
11,8,6,0
11,8,7,0
11,8,8,0
11,8,9,0
11,8,10,0
11,8,11,0
12,1,1,1.64637e-06
12,1,2,0
12,1,3,2.13995e-06
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,0
12,1,9,0
12,1,10,0
12,1,11,0
12,2,1,0.0124854
12,2,2,0.0091348
12,2,3,0.00784322
12,2,4,0.0072684
12,2,5,0.0052257
12,2,6,0.0015541
12,2,7,2.08459e-05
12,2,8,0
12,2,9,0
12,2,10,0
12,2,11,0
12,3,1,0.0478128
12,3,2,0.0395336
12,3,3,0.0313605
12,3,4,0.0296491
12,3,5,0.030138
12,3,6,0.0243571
12,3,7,0.0172921
12,3,8,0.0105512
12,3,9,0.00243078
12,3,10,0
12,3,11,0
12,4,1,0.0683694
12,4,2,0.0596677
12,4,3,0.0512142
12,4,4,0.0474091
12,4,5,0.0491974
12,4,6,0.0502456
12,4,7,0.0455164
12,4,8,0.0449736
12,4,9,0.0353428
12,4,10,0
12,4,11,0
12,5,1,0.0823065
12,5,2,0.0770405
12,5,3,0.064089
12,5,4,0.0615209
12,5,5,0.0646991
12,5,6,0.0676506
12,5,7,0.0729072
12,5,8,0.0729806
12,5,9,0.030866
12,5,10,0
12,5,11,0
12,6,1,0.144061
12,6,2,0.103701
12,6,3,0.0802708
12,6,4,0.0722935
12,6,5,0.0744708
