xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
8,9,2,11,8,0.0,0.0
8,9,3,1,8,440550.9758119186,9227.551489283944
8,9,3,2,8,351293.215406098,5158.781648397471
8,9,3,3,8,274142.008495212,3281.6638120572484
8,9,3,4,8,224165.18685306096,2499.987457392304
8,9,3,5,8,323442.6534542728,2626.5449580571017
8,9,3,6,8,197819.1741172546,1745.9899644532297
8,9,3,7,8,118929.92486013896,1221.8760844561266
8,9,3,8,8,92475.09297468554,1010.4525707741374
8,9,3,9,8,42147.51186502439,690.6828385956773
8,9,3,10,8,26007.515371048663,577.1792832805763
8,9,3,11,8,14744.404233117979,629.8721848064876
8,9,4,1,8,193021.77181215995,4150.842532017612
8,9,4,2,8,173185.17703284428,3433.2229556053103
8,9,4,3,8,141858.2112866096,2570.9209073878633
8,9,4,4,8,127670.0465345541,1856.0235427826747
8,9,4,5,8,185391.34180446347,1911.8094889450604
8,9,4,6,8,125064.67358983864,1388.319034611592
8,9,4,7,8,81639.64545574207,1036.8435036957396
8,9,4,8,8,72926.13591600131,896.7449858350009
8,9,4,9,8,39130.00802238588,589.0006263100643
8,9,4,10,8,24651.377025046833,448.1368224491908
8,9,4,11,8,14816.645300028404,329.66615469514244
8,9,5,1,8,105131.74330723246,2576.896806436859
8,9,5,2,8,90128.65523899849,1973.806779257505
8,9,5,3,8,79716.61674927386,1738.188241327518
8,9,5,4,8,67845.91698108417,1337.0683741963664
8,9,5,5,8,107210.49684852794,1533.6381015668328
8,9,5,6,8,76117.41985424566,1115.6916626178163
8,9,5,7,8,54877.40007699671,847.5925980830401
8,9,5,8,8,53395.31301931876,771.0898512245261
8,9,5,9,8,30036.807247194432,525.3215553323647
8,9,5,10,8,20288.550164323562,411.4909679232734
8,9,5,11,8,15397.80264748923,333.73845876539804
8,9,6,1,8,58503.509828169634,1523.1673565641029
8,9,6,2,8,55921.56983168223,1323.7516442946787
8,9,6,3,8,48648.61107211703,1220.5272813411573
8,9,6,4,8,41256.86211594566,1034.7829464651943
8,9,6,5,8,66299.94229341441,1132.1245873721969
8,9,6,6,8,49926.725646415034,931.9259294534653
8,9,6,7,8,36232.10221557271,713.0742005922162
8,9,6,8,8,37442.77903389441,666.0020541307807
8,9,6,9,8,23590.54148704906,476.7704544157992
8,9,6,10,8,16409.51037548944,359.9651252964046
8,9,6,11,8,11338.039403223409,287.0973075541408
8,9,7,1,8,34167.31511610132,973.91158714397
8,9,7,2,8,31755.582510925626,864.4906379980022
8,9,7,3,8,25889.312558174188,795.165022687984
8,9,7,4,8,25071.414000205346,700.6681369111108
8,9,7,5,8,38280.724832025444,848.5411058829211
8,9,7,6,8,29534.22144789937,684.3600172313164
8,9,7,7,8,21817.618750257443,554.9634183153275
8,9,7,8,8,20792.343009451124,484.3283465093271
8,9,7,9,8,11689.221114095495,350.4884529866883
8,9,7,10,8,6542.456899516991,243.74934882410574
8,9,7,11,8,1719.1660181251095,136.41142586313848
8,9,8,1,8,12907.389764061283,581.4785350970179
8,9,8,2,8,9700.163863349406,453.0973686944532
8,9,8,3,8,8722.013252760127,433.56876629405633
8,9,8,4,8,7700.462263528384,414.4349071437439
8,9,8,5,8,10620.248864932772,463.5003099774785
8,9,8,6,8,4955.203587647661,311.9478439330198
8,9,8,7,8,2335.031601731574,225.49406924048552
8,9,8,8,8,3307.341249747551,538.7543538836571
8,9,8,9,8,0.0,0.0
8,9,8,10,8,0.0,0.0
8,9,8,11,8,0.0,0.0
9,10,1,1,8,11347178.163812343,441067.6365448895
9,10,1,2,8,4592908.586047629,107592.09585767072
9,10,1,3,8,2444791.860995033,61819.989946380854
9,10,1,4,8,1421156.341757248,34069.60026307117
9,10,1,5,8,1314503.8467130796,39895.31734423128
9,10,1,6,8,537000.6333978074,104708.4761352857
9,10,1,7,8,0.0,0.0
9,10,1,8,8,0.0,0.0
9,10,1,9,8,0.0,0.0
9,10,1,10,8,0.0,0.0
9,10,1,11,8,0.0,0.0
9,10,2,1,8,1227562.9364123305,18952.442413843895
9,10,2,2,8,754174.3697133072,11460.977992542581
9,10,2,3,8,564221.2264832491,6285.808856044423
9,10,2,4,8,427925.3484937804,4801.903020315685
