xq2_bin,z_bin,pt2_bin,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0
5,5,2,13850.675000000001,8,110805.40000000001,4,1
5,5,3,11002.22125,8,88017.77,4,2
5,5,4,8757.8925,8,70063.14,4,3
5,5,5,12567.1125,8,100536.9,4,4
5,5,6,7098.535,8,56788.28,4,5
5,5,7,3225.1275,8,25801.02,4,6
5,5,8,1430.73,4,5722.92,4,7
5,5,9,224.029,2,448.058,4,8
5,6,1,9262.835,8,74102.68,5,0
5,6,2,6761.03125,8,54088.25,5,1
5,6,3,5003.4037499999995,8,40027.229999999996,5,2
5,6,4,3747.2771428571427,7,26230.94,5,3
5,6,5,4031.0575,8,32248.46,5,4
5,6,6,1701.5600000000002,6,10209.36,5,5
5,6,7,519.461,6,3116.766,5,6
5,7,1,1484.2075,8,11873.66,6,0
5,7,2,1007.5934285714286,7,7053.154,6,1
5,7,3,518.6196666666666,3,1555.859,6,2
5,7,4,297.382,3,892.146,6,3
5,7,5,120.086,1,120.086,6,4
6,2,1,102203.23333333334,6,613219.4,1,0
6,2,2,93234.90000000001,3,279704.7,1,1
6,2,3,80480.45,2,160960.9,1,2
6,2,4,47474.8,1,47474.8,1,3
6,2,5,27619.0,1,27619.0,1,4
6,3,1,37556.675,8,300453.4,2,0
6,3,2,31362.0625,8,250896.5,2,1
6,3,3,24102.283333333336,6,144613.7,2,2
6,3,4,18521.583333333332,6,111129.5,2,3
6,3,5,25522.079999999998,5,127610.4,2,4
6,3,6,7180.535,4,28722.14,2,5
6,3,7,2288.92,1,2288.92,2,6
6,4,1,21029.375,8,168235.0,3,0
6,4,2,15689.575,8,125516.6,3,1
6,4,3,13565.1875,8,108521.5,3,2
6,4,4,9148.021428571428,7,64036.15,3,3
6,4,5,11211.438333333334,6,67268.63,3,4
6,4,6,4287.126666666667,6,25722.760000000002,3,5
6,4,7,620.095,1,620.095,3,6
6,5,1,11306.8275,8,90454.62,4,0
6,5,2,7858.925,8,62871.4,4,1
6,5,3,5300.39375,8,42403.15,4,2
6,5,4,3476.01625,8,27808.13,4,3
6,5,5,3293.522857142857,7,23054.66,4,4
6,5,6,579.192,3,1737.576,4,5
6,6,1,2767.0875,8,22136.7,5,0
6,6,2,1441.74875,8,11533.99,5,1
6,6,3,795.8152,5,3979.076,5,2
6,6,4,282.59349999999995,2,565.1869999999999,5,3
7,3,1,18694.375,8,149555.0,2,0
7,3,2,17421.649999999998,6,104529.9,2,1
7,3,3,16739.8,3,50219.399999999994,2,2
7,3,4,11006.186666666666,3,33018.56,2,3
7,3,5,7164.080000000001,3,21492.24,2,4
7,4,1,10746.815,8,85974.52,3,0
7,4,2,9785.7775,8,78286.22,3,1
7,4,3,5445.3,6,32671.8,3,2
7,4,4,3525.62,4,14102.48,3,3
7,4,5,1708.4250000000002,2,3416.8500000000004,3,4
7,5,1,4037.3375,8,32298.7,4,0
7,5,2,2247.35875,8,17978.87,4,1
7,5,3,847.5329999999999,4,3390.1319999999996,4,2
7,6,1,218.139,1,218.139,5,0
8,1,1,1673116.6666666667,6,10038700.0,0,0
8,1,2,698060.0,8,5584480.0,0,1
8,1,3,350363.125,8,2802905.0,0,2
8,1,4,192077.75,8,1536622.0,0,3
8,1,5,186237.0,8,1489896.0,0,4
8,1,6,83982.0375,8,671856.3,0,5
8,2,1,218930.80000000002,6,1313584.8,1,0
8,2,2,93430.2125,8,747441.7,1,1
8,2,3,74879.575,8,599036.6,1,2
8,2,4,52139.45,8,417115.6,1,3
8,2,5,67384.2,8,539073.6,1,4
8,2,6,37051.55,8,296412.4,1,5
8,2,7,20706.575,8,165652.6,1,6
8,2,8,15315.35,8,122522.8,1,7
8,2,9,7948.3025,8,63586.42,1,8
8,3,1,71365.3,8,570922.4,2,0
8,3,2,42382.76666666667,6,254296.6,2,1
8,3,3,31475.0,8,251800.0,2,2
8,3,4,26455.45,8,211643.6,2,3
8,3,5,38625.6875,8,309005.5,2,4
8,3,6,22650.025,8,181200.2,2,5
8,3,7,13972.175,8,111777.4,2,6
8,3,8,10779.8125,8,86238.5,2,7
8,3,9,5141.175,8,41129.4,2,8
8,3,10,3405.94875,8,27247.59,2,9
8,3,11,2264.7157142857145,7,15853.01,2,10
8,4,1,23291.0375,8,186328.3,3,0
8,4,2,20278.833333333332,6,121673.0,3,1
8,4,3,17187.716666666667,6,103126.3,3,2
8,4,4,15427.633333333333,6,92565.8,3,3
8,4,5,20302.3575,8,162418.86,3,4
8,4,6,15160.433333333334,6,90962.6,3,5
8,4,7,9297.94625,8,74383.57,3,6
8,4,8,8186.67,8,65493.36,3,7
8,4,9,4569.5225,8,36556.18,3,8
8,4,10,2875.92375,8,23007.39,3,9
8,4,11,1809.7175,8,14477.74,3,10
8,5,1,13086.922857142856,7,91608.45999999999,4,0
8,5,2,10810.485,6,64862.91,4,1
8,5,3,9424.154,5,47120.770000000004,4,2
8,5,4,8216.924,5,41084.62,4,3
8,5,5,12830.550000000001,6,76983.3,4,4
8,5,6,9225.475,6,55352.85,4,5
8,5,7,6600.121666666666,6,39600.729999999996,4,6
8,5,8,6792.864285714286,7,47550.05,4,7
8,5,9,3564.3100000000004,7,24950.170000000002,4,8
8,5,10,2316.99,8,18535.92,4,9
8,5,11,1714.49125,8,13715.93,4,10
8,6,1,7381.197142857142,7,51668.38,5,0
8,6,2,6597.966,5,32989.83,5,1
8,6,3,5876.686,5,29383.43,5,2
8,6,4,4953.906,5,24769.53,5,3
8,6,5,7537.293333333334,6,45223.76,5,4
8,6,6,5889.841666666667,6,35339.05,5,5
8,6,7,4342.7699999999995,6,26056.62,5,6
8,6,8,4560.161666666667,6,27360.97,5,7
8,6,9,2816.7083333333335,6,16900.25,5,8
8,6,10,2035.4257142857143,7,14247.98,5,9
8,6,11,1302.7068571428572,7,9118.948,5,10
8,7,1,4195.95625,8,33567.65,6,0
8,7,2,3929.28,5,19646.4,6,1
8,7,3,3435.0175,4,13740.07,6,2
8,7,4,3417.222,5,17086.11,6,3
8,7,5,4854.954,5,24274.77,6,4
8,7,6,3637.018,5,18185.09,6,5
8,7,7,2608.6766666666667,6,15652.06,6,6
8,7,8,2615.945,6,15695.67,6,7
8,7,9,1395.5566666666666,6,8373.34,6,8
8,7,10,794.5711666666666,6,4767.427,6,9
8,7,11,274.0795,4,1096.318,6,10
8,8,1,1769.3416666666665,6,10616.05,7,0
8,8,2,1338.905,4,5355.62,7,1
8,8,3,1166.2766666666666,3,3498.83,7,2
8,8,4,938.45675,4,3753.827,7,3
8,8,5,1407.92,5,7039.6,7,4
8,8,6,657.64775,4,2630.591,7,5
8,8,7,1566.7694999999999,2,3133.5389999999998,7,6
8,8,8,331.23,1,331.23,7,7
9,1,1,1512091.6666666667,6,9072550.0,0,0
9,1,2,533238.125,8,4265905.0,0,1
9,1,3,304806.25,8,2438450.0,0,2
9,1,4,177850.375,8,1422803.0,0,3
9,1,5,175328.75,8,1402630.0,0,4
9,1,6,304154.0,2,608308.0,0,5
9,2,1,193271.0,8,1546168.0,1,0
9,2,2,95175.1375,8,761401.1,1,1
9,2,3,70879.2375,8,567033.9,1,2
9,2,4,52129.0875,8,417032.7,1,3
9,2,5,67703.0875,8,541624.7,1,4
9,2,6,36221.0125,8,289768.1,1,5
9,2,7,19682.9875,8,157463.9,1,6
9,2,8,17388.875,8,139111.0,1,7
9,3,1,63527.6875,8,508221.5,2,0
9,3,2,42685.775,8,341486.2,2,1
9,3,3,32998.6375,8,263989.1,2,2
9,3,4,28014.0625,8,224112.5,2,3
9,3,5,37751.6875,8,302013.5,2,4
9,3,6,22451.1,8,179608.8,2,5
9,3,7,12902.22875,8,103217.83,2,6
9,3,8,10186.06875,8,81488.55,2,7
9,3,9,4717.84875,8,37742.79,2,8
9,3,10,2933.0725,8,23464.58,2,9
9,3,11,998.5261999999999,5,4992.630999999999,2,10
9,4,1,23435.8,8,187486.4,3,0
9,4,2,18754.775,8,150038.2,3,1
9,4,3,15836.47375,8,126691.79,3,2
9,4,4,14402.466666666667,6,86414.8,3,3
9,4,5,20735.8375,8,165886.7,3,4
9,4,6,14036.3625,8,112290.9,3,5
9,4,7,8995.1675,8,71961.34,3,6
9,4,8,7636.71125,8,61093.69,3,7
9,4,9,3958.92875,8,31671.43,3,8
9,4,10,2276.6075,8,18212.86,3,9
9,4,11,1026.105125,8,8208.841,3,10
9,5,1,13111.3125,8,104890.5,4,0
9,5,2,10729.104285714286,7,75103.73,4,1
9,5,3,8879.341428571428,7,62155.39,4,2
9,5,4,8502.35,6,51014.1,4,3
9,5,5,12676.842857142856,7,88737.9,4,4
9,5,6,8969.083333333334,6,53814.5,4,5
9,5,7,6462.085714285714,7,45234.6,4,6
9,5,8,6090.165,6,36540.99,4,7
9,5,9,3459.775,6,20758.65,4,8
9,5,10,1903.011875,8,15224.095,4,9
9,5,11,1075.925857142857,7,7531.481,4,10
9,6,1,7725.21,8,61801.68,5,0
9,6,2,6866.448571428571,7,48065.14,5,1
9,6,3,5783.845,6,34703.07,5,2
9,6,4,5248.19,6,31489.14,5,3
9,6,5,8112.485000000001,6,48674.91,5,4
9,6,6,5802.461666666667,6,34814.770000000004,5,5
9,6,7,4296.683333333333,6,25780.1,5,6
9,6,8,3888.3700000000003,6,23330.22,5,7
9,6,9,2239.9166666666665,6,13439.5,5,8
9,6,10,1253.2271666666666,6,7519.362999999999,5,9
9,6,11,486.6125,6,2919.675,5,10
9,7,1,4890.5325,8,39124.26,6,0
9,7,2,4509.5085714285715,7,31566.559999999998,6,1
9,7,3,3488.26,6,20929.56,6,2
9,7,4,2884.3916666666664,6,17306.35,6,3
9,7,5,4736.568333333334,6,28419.41,6,4
9,7,6,3217.2316666666666,6,19303.39,6,5
9,7,7,1954.1916666666666,6,11725.15,6,6
9,7,8,1496.7516666666668,6,8980.51,6,7
9,7,9,496.0155,6,2976.093,6,8
9,7,10,265.02733333333333,3,795.082,6,9
9,8,1,1224.150375,8,9793.203,7,0
9,8,2,982.3948,5,4911.974,7,1
9,8,3,532.49325,4,2129.973,7,2
9,8,4,434.112,3,1302.336,7,3
9,8,5,368.81666666666666,3,1106.45,7,4
9,8,6,171.111,2,342.222,7,5
10,1,1,1481591.6666666667,6,8889550.0,0,0
10,1,2,764733.0,7,5353131.0,0,1
10,1,3,385218.875,8,3081751.0,0,2
10,1,4,192485.0,5,962425.0,0,3
10,1,5,231641.75,4,926567.0,0,4
10,2,1,190927.25,8,1527418.0,1,0
10,2,2,113654.325,8,909234.6,1,1
10,2,3,87925.8375,8,703406.7,1,2
10,2,4,66422.3,8,531378.4,1,3
10,2,5,82150.575,8,657204.6,1,4
10,2,6,48088.350000000006,8,384706.80000000005,1,5
10,2,7,24808.733333333334,6,148852.4,1,6
10,2,8,26242.9,1,26242.9,1,7
10,3,1,62667.8875,8,501343.1,2,0
10,3,2,48685.225,8,389481.8,2,1
10,3,3,41482.6375,8,331861.1,2,2
10,3,4,32824.9125,8,262599.3,2,3
10,3,5,44666.8375,8,357334.7,2,4
10,3,6,25881.375,8,207051.0,2,5
10,3,7,15037.025,8,120296.2,2,6
10,3,8,12187.026249999999,8,97496.20999999999,2,7
10,3,9,4240.733333333334,6,25444.4,2,8
10,3,10,1543.43,1,1543.43,2,9
10,4,1,30344.5375,8,242756.3,3,0
10,4,2,24630.3875,8,197043.1,3,1
10,4,3,20371.2,8,162969.6,3,2
10,4,4,17422.025,8,139376.2,3,3
10,4,5,24632.5375,8,197060.3,3,4
10,4,6,15852.6875,8,126821.5,3,5
10,4,7,9848.92125,8,78791.37,3,6
10,4,8,8343.84125,8,66750.73,3,7
10,4,9,3702.9275,8,29623.42,3,8
10,4,10,1696.93375,8,13575.47,3,9
10,4,11,264.56875,4,1058.275,3,10
10,5,1,16096.525,8,128772.2,4,0
10,5,2,13236.05,8,105888.4,4,1
10,5,3,10788.905,8,86311.24,4,2
