xq2_bin,z_bin_phiavg,pt2_bin_phiavg,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,content,error,_merge,diff(phiavg - spec),ratio(phiavg/spec),abs_rel_diff
2,4.0,11.0,1855.52625,8.0,14844.21,3.0,10.0,3.0,10.0,212.269,30.5497,both,1643.2572499999999,8.741390641120464,7.741390641120464
2,5.0,1.0,13524.3125,8.0,108194.5,4.0,0.0,4.0,0.0,5719.91,416.049,both,7804.4025,2.3644274997333876,1.3644274997333874
2,5.0,2.0,13771.575,4.0,55086.3,4.0,1.0,4.0,1.0,4100.99,172.21,both,9670.585000000001,3.3581098710311417,2.3581098710311417
2,5.0,3.0,10353.636,5.0,51768.18,4.0,2.0,4.0,2.0,3458.09,149.484,both,6895.546,2.994033122330535,1.994033122330535
2,5.0,4.0,8976.761666666667,6.0,53860.57,4.0,3.0,4.0,3.0,3301.95,199.046,both,5674.811666666667,2.7186243482386674,1.7186243482386674
2,5.0,5.0,13753.65,6.0,82521.9,4.0,4.0,4.0,4.0,5860.71,241.869,both,7892.94,2.3467549153600844,1.3467549153600842
2,5.0,6.0,10239.606666666667,6.0,61437.64,4.0,5.0,4.0,5.0,5048.82,167.83,both,5190.786666666667,2.0281187815502766,1.0281187815502766
2,5.0,7.0,7303.68,6.0,43822.08,4.0,6.0,4.0,6.0,3830.28,134.382,both,3473.4,1.9068266549703938,0.9068266549703938
2,5.0,8.0,6713.240000000001,6.0,40279.44,4.0,7.0,4.0,7.0,3741.14,196.715,both,2972.100000000001,1.794436989794555,0.7944369897945548
2,5.0,9.0,3617.6785714285716,7.0,25323.75,4.0,8.0,4.0,8.0,1926.79,108.185,both,1690.8885714285716,1.877567649525154,0.8775676495251541
2,5.0,10.0,2425.1262500000003,8.0,19401.010000000002,4.0,9.0,4.0,9.0,1103.57,57.3791,both,1321.5562500000003,2.1975282492275077,1.1975282492275074
2,5.0,11.0,1347.1485,8.0,10777.188,4.0,10.0,4.0,10.0,345.633,46.0164,both,1001.5155,3.8976269627032143,2.8976269627032143
2,6.0,1.0,8373.24375,8.0,66985.95,5.0,0.0,5.0,0.0,4550.15,206.333,both,3823.09375,1.8402126852960892,0.8402126852960892
2,6.0,2.0,7185.936,5.0,35929.68,5.0,1.0,5.0,1.0,2826.31,137.234,both,4359.626,2.542515152265675,1.542515152265675
