xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
12,13,4,4,8,12099.58792486818,268.0932124500951
12,13,4,5,8,14044.697160324007,410.8205021206767
12,13,4,6,8,3595.6475635252386,120.0063363763637
12,13,4,7,8,820.4697012800518,60.72467731464624
12,13,4,8,8,28.479904031352483,8.043655435000854
12,13,4,9,8,0.0,0.0
12,13,4,10,8,0.0,0.0
12,13,4,11,8,0.0,0.0
12,13,5,1,8,15864.009984907343,152.65968818011393
12,13,5,2,8,10361.046606085032,153.35622218350758
12,13,5,3,8,7097.4300085226305,151.10978902999634
12,13,5,4,8,4213.405846427419,124.66265396213771
12,13,5,5,8,4243.54545249017,116.3694859607356
12,13,5,6,8,1128.848691238077,73.73766026515638
12,13,5,7,8,137.4902147958831,14.707357329578562
12,13,5,8,8,0.0,0.0
12,13,5,9,8,0.0,0.0
12,13,5,10,8,0.0,0.0
12,13,5,11,8,0.0,0.0
12,13,6,1,8,3523.8319039115922,57.89746873380402
12,13,6,2,8,2143.630592703954,57.229004824076966
12,13,6,3,8,1336.7164808954062,72.58374270033256
12,13,6,4,8,407.30864440544934,30.838921660823786
12,13,6,5,8,287.91413608743136,24.290805838428454
12,13,6,6,8,0.0,0.0
12,13,6,7,8,0.0,0.0
12,13,6,8,8,0.0,0.0
12,13,6,9,8,0.0,0.0
12,13,6,10,8,0.0,0.0
12,13,6,11,8,0.0,0.0
12,13,7,1,8,65.62218513944181,12.232905922716382
12,13,7,2,8,0.0,0.0
12,13,7,3,8,0.0,0.0
12,13,7,4,8,0.0,0.0
12,13,7,5,8,0.0,0.0
12,13,7,6,8,0.0,0.0
12,13,7,7,8,0.0,0.0
12,13,7,8,8,0.0,0.0
12,13,7,9,8,0.0,0.0
12,13,7,10,8,0.0,0.0
12,13,7,11,8,0.0,0.0
12,13,8,1,8,0.0,0.0
12,13,8,2,8,0.0,0.0
12,13,8,3,8,0.0,0.0
12,13,8,4,8,0.0,0.0
12,13,8,5,8,0.0,0.0
12,13,8,6,8,0.0,0.0
12,13,8,7,8,0.0,0.0
12,13,8,8,8,0.0,0.0
12,13,8,9,8,0.0,0.0
12,13,8,10,8,0.0,0.0
12,13,8,11,8,0.0,0.0
13,14,1,1,8,863741.0852835915,28329.054227734858
13,14,1,2,8,487997.01778163086,14000.997140703483
13,14,1,3,8,276599.94314557244,4745.92481003649
13,14,1,4,8,146388.8901423163,2832.8594329541397
13,14,1,5,8,152431.30160850083,3182.3771020840954
13,14,1,6,8,25545.825950450453,5146.896845955718
13,14,1,7,8,0.0,0.0
13,14,1,8,8,0.0,0.0
13,14,1,9,8,0.0,0.0
13,14,1,10,8,0.0,0.0
13,14,1,11,8,0.0,0.0
13,14,2,1,8,167635.00276939728,3843.4091090743395
13,14,2,2,8,78825.62452929848,2696.92267507641
13,14,2,3,8,59253.408191336064,878.1744760380168
13,14,2,4,8,45103.57025986825,510.8309741844147
13,14,2,5,8,55455.43357288673,514.5276683891558
13,14,2,6,8,30027.799598217895,355.79054711258004
13,14,2,7,8,16286.742230630618,271.2491011457371
13,14,2,8,8,13629.841234138741,340.5433178757249
13,14,2,9,8,5745.473921912132,531.8420516340606
13,14,2,10,8,0.0,0.0
13,14,2,11,8,0.0,0.0
13,14,3,1,8,43318.35177314621,978.7155147471603
