xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
3,4,4,9,8,27155.48093986112,717.3648000501355
3,4,4,10,8,15273.897951736926,704.0857938474187
3,4,4,11,5,2401.480916094152,188.00214121774562
3,4,5,1,8,97615.537284742,2270.79334489015
3,4,5,2,8,76250.2908744316,3360.635853980521
3,4,5,3,7,54432.83124131709,2842.3021287450224
3,4,5,4,6,46500.02197787639,1389.9860032462557
3,4,5,5,8,92319.45430933371,5111.604907950716
3,4,5,6,7,58726.99949994817,2177.6726554503307
3,4,5,7,7,40590.35237132255,1539.7701803965474
3,4,5,8,7,37673.35718954944,1193.7385567726
3,4,5,9,7,19788.831311803686,587.6268083963165
3,4,5,10,7,10685.182199093071,348.7616969971476
3,4,5,11,8,3789.1016777604286,224.04837320727933
3,4,6,1,8,58333.44391843356,1220.1141711647301
3,4,6,2,6,38633.70753742012,1487.4316997505991
3,4,6,3,4,21880.64282077471,1047.3519529383334
3,4,6,4,5,24195.70307148545,1004.0382871795612
3,4,6,5,6,45733.72640508823,1314.7430419190384
3,4,6,6,6,32324.388751539875,695.6873708302827
3,4,6,7,6,21630.515448542723,497.5833003959319
3,4,6,8,6,20366.21331220824,424.1590012429378
3,4,6,9,6,8848.917559250789,262.8510708304992
3,4,6,10,6,4140.8924313959715,179.7221333657413
3,4,6,11,3,542.5707235074956,73.45309481943028
3,4,7,1,8,34996.29861411173,729.7670759682055
3,4,7,2,6,21487.295706414836,766.9441216316512
3,4,7,3,5,15391.385568426702,866.3385225637321
3,4,7,4,4,10858.870324544117,838.7582635140772
3,4,7,5,5,19022.209817227766,751.6721816196157
3,4,7,6,6,13499.25651549481,521.7233182571589
3,4,7,7,6,7825.210738997421,308.27348489554464
3,4,7,8,6,4709.870377933703,242.98502501371695
3,4,7,9,3,621.8644672469304,77.42131233893093
3,4,8,1,8,6087.011605474485,348.35598695115
3,4,8,2,4,2000.1632510880086,163.37529693523445
3,4,8,3,3,1005.5327900010642,102.61674431506763
3,4,8,4,2,369.47287864213627,64.37047565502867
3,4,8,5,2,229.91330757771743,60.84314903995899
4,5,1,1,5,11620384.283926371,2386174.5197615875
4,5,1,2,4,7007114.454436776,601590.1009761991
4,5,1,4,2,427526.3357186847,97022.16429643372
4,5,2,1,8,1024566.306649531,26649.25124051499
