xq2_bin,ybin,z_bin,pt2_bin,phi_bin,phi_center_deg,content,error
1,2,1,2,1,22.5,601.846,64.729
1,2,1,2,2,67.5,2449.46,152.087
1,2,1,2,3,112.5,3923.95,194.41
1,2,1,2,4,157.5,5487.88,333.487
1,2,1,2,5,202.5,3954.02,230.374
1,2,1,2,6,247.5,2660.03,181.604
1,2,1,2,7,292.5,3607.45,122.829
1,2,1,2,8,337.5,224.119,52.021
1,2,1,3,1,22.5,408.357,37.103
1,2,1,3,2,67.5,2462.31,116.737
1,2,1,3,3,112.5,2639.25,97.6395
1,2,1,3,4,157.5,4031.38,185.315
1,2,1,3,5,202.5,2596.63,98.2517
1,2,1,3,6,247.5,3739.35,113.34
1,2,1,3,7,292.5,2167.53,111.228
1,2,1,3,8,337.5,385.331,48.3117
1,2,1,4,1,22.5,421.068,39.4695
1,2,1,4,2,67.5,1937.85,94.1907
1,2,1,4,3,112.5,2275.81,73.668
1,2,1,4,4,157.5,2170.15,112.661
1,2,1,4,5,202.5,1477.89,69.3293
1,2,1,4,6,247.5,2552.38,125.94
1,2,1,4,7,292.5,1659.66,96.0586
1,2,1,4,8,337.5,295.062,29.8043
1,2,1,5,1,22.5,680.424,36.891
1,2,1,5,2,67.5,1727.37,59.9334
1,2,1,5,3,112.5,1960.27,65.1705
1,2,1,5,4,157.5,1216.54,70.0683
1,2,1,5,5,202.5,1027.82,49.9229
1,2,1,5,6,247.5,2059.03,68.8189
1,2,1,5,7,292.5,1715.53,62.3544
1,2,1,5,8,337.5,338.345,31.4894
1,2,1,6,1,22.5,123.686,14.2212
1,2,1,6,2,67.5,210.68,22.7909
1,2,1,6,3,112.5,209.517,25.464
1,2,1,6,4,157.5,108.806,14.3132
1,2,1,6,5,202.5,125.213,14.3316
1,2,1,6,6,247.5,246.202,21.1115
1,2,1,6,7,292.5,356.121,23.3415
1,2,1,6,8,337.5,82.9805,10.4981
1,2,1,7,1,22.5,0,0
1,2,1,7,2,67.5,0,0
1,2,1,7,3,112.5,0,0
