xq2_center,xq2_bin,iy,z_bin,pt2_bin,z_label,pt2_label,rootfile,source,npoints,p0,p1,p2,chi2,ndf,status
1.000000,1,2,6,5,0.60–0.70,0.20–0.30,measData_times_truth_over_meas.root,file2,6,15555.45354,-144.1762126,203.6165594,5.573054062,3,0
1.000000,1,2,6,6,0.60–0.70,0.30–0.40,measData_times_truth_over_meas.root,file1,6,10965.08203,-1704.856129,-552.0448266,10.72941377,3,0
1.000000,1,2,6,6,0.60–0.70,0.30–0.40,measData_times_truth_over_meas.root,file2,6,10965.08203,-1704.856129,-552.0448266,10.72941377,3,0
1.000000,1,2,6,7,0.60–0.70,0.40–0.50,measData_times_truth_over_meas.root,file1,6,8275.749777,-1500.216714,-332.7251144,9.156109907,3,0
1.000000,1,2,6,7,0.60–0.70,0.40–0.50,measData_times_truth_over_meas.root,file2,6,8275.749777,-1500.216714,-332.7251144,9.156109907,3,0
1.000000,1,2,6,8,0.60–0.70,0.50–0.65,measData_times_truth_over_meas.root,file1,6,8690.119817,-683.9817269,537.5502458,3.106391924,3,0
1.000000,1,2,6,8,0.60–0.70,0.50–0.65,measData_times_truth_over_meas.root,file2,6,8690.119817,-683.9817269,537.5502458,3.106391924,3,0
1.000000,1,2,6,9,0.60–0.70,0.65–0.80,measData_times_truth_over_meas.root,file1,6,5170.662526,-716.9414751,144.6952653,2.4169097,3,0
1.000000,1,2,6,9,0.60–0.70,0.65–0.80,measData_times_truth_over_meas.root,file2,6,5170.662526,-716.9414751,144.6952653,2.4169097,3,0
1.000000,1,2,6,10,0.60–0.70,0.80–1.00,measData_times_truth_over_meas.root,file1,6,4056.545385,36.66027404,491.1653012,5.0423051,3,0
1.000000,1,2,6,10,0.60–0.70,0.80–1.00,measData_times_truth_over_meas.root,file2,6,4053.685057,38.34122505,489.2364151,5.088920905,3,0
1.000000,1,2,6,11,0.60–0.70,1.00–1.50,measData_times_truth_over_meas.root,file1,7,3087.907282,-463.770274,519.5328995,15.00222691,4,0
1.000000,1,2,6,11,0.60–0.70,1.00–1.50,measData_times_truth_over_meas.root,file2,8,2825.045343,-540.166559,375.1845668,20.97278631,5,0
