xq2_bin,z0,pt20,phi_content_sum,phi_bin_count,spec_content,nophi_content,ratio(phi/spec),ratio(phi/nophi),ratio(nophi/spec)
1,2,1,15325.82,8.0,11901.7,12019.4,1.2877000764596653,1.2750902707289882,1.0098893435391583
1,2,2,15899.8157,8.0,13141.2,13970.0,1.2099211411438833,1.138139992841804,1.0630688217209996
1,2,2,15899.8157,8.0,13141.2,13970.0,1.2099211411438833,1.138139992841804,1.0630688217209996
1,2,3,15464.865,8.0,12970.7,14506.7,1.1922922432867924,1.0660498252531587,1.1184207483019422
1,2,3,15464.865,8.0,12970.7,14506.7,1.1922922432867924,1.0660498252531587,1.1184207483019422
1,2,4,25830.706000000002,8.0,22063.6,26040.3,1.1707385014231586,0.9919511679972965,1.1802380391232619
1,2,4,25830.706000000002,8.0,22063.6,26040.3,1.1707385014231586,0.9919511679972965,1.1802380391232619
1,2,5,17388.235,8.0,14912.8,20035.9,1.165993978327343,0.8678539521558801,1.3435370956493753
1,2,5,17388.235,8.0,14912.8,20035.9,1.165993978327343,0.8678539521558801,1.3435370956493753
1,2,6,10486.91,8.0,8815.55,13728.6,1.1895922545955726,0.7638732281514502,1.5573163330705404
1,2,6,10486.91,8.0,8815.55,13728.6,1.1895922545955726,0.7638732281514502,1.5573163330705404
1,2,7,8119.32,8.0,6894.17,12066.8,1.1777081214997598,0.672864388238804,1.7502904628113318
1,2,7,8119.32,8.0,6894.17,12066.8,1.1777081214997598,0.672864388238804,1.7502904628113318
1,2,8,3102.061,8.0,2653.33,6018.33,1.1691199360803217,0.5154355111800117,2.2682176736402937
1,2,8,3102.061,8.0,2653.33,6018.33,1.1691199360803217,0.5154355111800117,2.2682176736402937
1,2,9,1191.7342,8.0,980.085,3067.78,1.215949841085212,0.38846794750601416,3.130116265425958
1,2,9,1191.7342,8.0,980.085,3067.78,1.215949841085212,0.38846794750601416,3.130116265425958
1,2,10,218.457,8.0,207.79,1011.49,1.0513354829395063,0.21597544216947276,4.86784734587805
1,2,10,218.457,8.0,207.79,1011.49,1.0513354829395063,0.21597544216947276,4.86784734587805
1,3,0,7453.659000000001,8.0,5772.21,3135.53,1.2913007323018395,2.3771607989717847,0.5432113523243264
