xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,phi_error_sum,z_bin0,pt2_bin0
3,6,5,28950.384000000002,8,177.05452685130646,5,4
3,6,6,20545.3468,8,148.70909813966495,5,5
3,6,7,12359.2178,8,113.70449749862316,5,6
3,6,8,7199.38147,8,86.76871300083747,5,7
3,6,9,1394.886,8,38.54326470059328,5,8
3,6,10,18.164,8,4.86606,5,9
3,6,11,0.0,8,0.0,5,10
3,7,1,27053.9,8,173.67312980182052,6,0
3,7,2,12948.2203,8,119.13471114621002,6,1
3,7,3,7126.980600000001,8,86.92132279233272,6,2
3,7,4,4267.0151,8,67.11340198224569,6,3
3,7,5,4818.116,8,71.12315008820967,6,4
3,7,6,1833.1318999999999,8,44.00805661782397,6,5
3,7,7,431.05865,8,21.573636977637776,6,6
3,7,8,15.1742,8,4.09242,6,7
3,7,9,0.0,8,0.0,6,8
3,7,10,0.0,8,0.0,6,9
3,7,11,0.0,8,0.0,6,10
3,8,1,94.9966,8,10.210689359661275,7,0
3,8,2,0.0,8,0.0,7,1
3,8,3,0.0,8,0.0,7,2
3,8,4,0.0,8,0.0,7,3
3,8,5,0.0,8,0.0,7,4
3,8,6,0.0,8,0.0,7,5
3,8,7,0.0,8,0.0,7,6
3,8,8,0.0,8,0.0,7,7
3,8,9,0.0,8,0.0,7,8
3,8,10,0.0,8,0.0,7,9
3,8,11,0.0,8,0.0,7,10
4,1,1,0.0,8,0.0,0,0
4,1,2,0.0,8,0.0,0,1
4,1,3,0.0,8,0.0,0,2
4,1,4,0.0,8,0.0,0,3
4,1,5,0.0,8,0.0,0,4
4,1,6,0.0,8,0.0,0,5
4,1,7,0.0,8,0.0,0,6
4,1,8,0.0,8,0.0,0,7
4,1,9,0.0,8,0.0,0,8
4,1,10,0.0,8,0.0,0,9
4,1,11,0.0,8,0.0,0,10
4,2,1,38894.14,8,429.35518642378133,1,0
4,2,2,17908.022,8,194.07460553918435,1,1
4,2,3,12606.641,8,128.6657594685548,1,2
4,2,4,8393.64714,8,100.89794620117101,1,3
4,2,5,7314.87,8,91.99717956894114,1,4
4,2,6,1080.582,8,34.33980244352026,1,5
4,2,7,0.0,8,0.0,1,6
4,2,8,0.0,8,0.0,1,7
4,2,9,0.0,8,0.0,1,8
4,2,10,0.0,8,0.0,1,9
4,2,11,0.0,8,0.0,1,10
4,3,1,136304.44,8,660.4361146606082,2,0
4,3,2,80270.95,8,378.8730937675305,2,1
4,3,3,46476.827000000005,8,258.5657680478025,2,2
4,3,4,38084.41,8,211.01440385232,2,3
4,3,5,47020.732,8,238.16313385224004,2,4
4,3,6,17981.705,8,140.39020899817052,2,5
4,3,7,5983.062,8,79.76381149280668,2,6
4,3,8,1898.546,8,44.99850639243485,2,7
4,3,9,21.9684,8,5.25596,2,8
4,3,10,0.0,8,0.0,2,9
4,3,11,0.0,8,0.0,2,10
4,4,1,160751.4,8,554.3314019366032,3,0
4,4,2,98611.08,8,370.25303459884026,3,1
4,4,3,60454.9,8,271.279260861423,3,2
4,4,4,41946.828,8,219.1111441820338,3,3
4,4,5,61131.63,8,261.1801415049965,3,4
4,4,6,32228.488,8,186.7982466922803,3,5
4,4,7,13349.483,8,119.0682776111106,3,6
4,4,8,5898.379,8,78.73076128947312,3,7
4,4,9,805.0073,8,29.319030604678936,3,8
4,4,10,0.0,8,0.0,3,9
4,4,11,0.0,8,0.0,3,10
4,5,1,142221.88,8,450.0331665244241,4,0
4,5,2,71438.17,8,294.5545646801964,4,1
4,5,3,47142.5,8,231.8893776229088,4,2
4,5,4,31949.76,8,187.05844061546648,4,3
4,5,5,43773.119,8,218.67938150584752,4,4
4,5,6,24380.661,8,161.03913928654114,4,5
4,5,7,10160.182999999999,8,103.58634496954703,4,6
4,5,8,3700.6668999999997,8,62.32025352769756,4,7
4,5,9,241.2424,8,16.142639975880652,4,8
4,5,10,0.0,8,0.0,4,9
4,5,11,0.0,8,0.0,4,10
4,6,1,82739.22,8,314.4808911345966,5,0
4,6,2,38165.507,8,208.56641055258635,5,1
4,6,3,21665.957000000002,8,154.76078699564047,5,2
4,6,4,13440.932,8,120.27780226775015,5,3
4,6,5,14939.681999999999,8,126.53330839759151,5,4
4,6,6,6039.3108,8,79.87530998105734,5,5
4,6,7,1676.47,8,42.338246346182075,5,6
4,6,8,282.9837,8,17.584259282506046,5,7
4,6,9,0.0,8,0.0,5,8
4,6,10,0.0,8,0.0,5,9
4,6,11,0.0,8,0.0,5,10
4,7,1,12136.707,8,115.44578045840393,6,0
4,7,2,4009.1693999999998,8,65.43314155252291,6,1
4,7,3,1349.7926,8,38.054938023255275,6,2
4,7,4,440.6974,8,21.959698299612405,6,3
4,7,5,232.4152,8,16.173206312521955,6,4
4,7,6,0.0,8,0.0,6,5
4,7,7,0.0,8,0.0,6,6
4,7,8,0.0,8,0.0,6,7
4,7,9,0.0,8,0.0,6,8
4,7,10,0.0,8,0.0,6,9
4,7,11,0.0,8,0.0,6,10
4,8,1,0.0,8,0.0,7,0
4,8,2,0.0,8,0.0,7,1
4,8,3,0.0,8,0.0,7,2
4,8,4,0.0,8,0.0,7,3
4,8,5,0.0,8,0.0,7,4
4,8,6,0.0,8,0.0,7,5
4,8,7,0.0,8,0.0,7,6
4,8,8,0.0,8,0.0,7,7
4,8,9,0.0,8,0.0,7,8
4,8,10,0.0,8,0.0,7,9
4,8,11,0.0,8,0.0,7,10
5,1,1,0.0,8,0.0,0,0
5,1,2,0.0,8,0.0,0,1
5,1,3,0.0,8,0.0,0,2
5,1,4,0.0,8,0.0,0,3
5,1,5,0.0,8,0.0,0,4
5,1,6,0.0,8,0.0,0,5
5,1,7,0.0,8,0.0,0,6
5,1,8,0.0,8,0.0,0,7
5,1,9,0.0,8,0.0,0,8
5,1,10,0.0,8,0.0,0,9
5,1,11,0.0,8,0.0,0,10
5,2,1,2598.737,8,96.88295436793823,1,0
5,2,2,729.4806,8,32.21449234234338,1,1
5,2,3,461.5823,8,23.513331033668965,1,2
5,2,4,378.7733,8,20.93476186480515,1,3
5,2,5,190.0,8,15.081044133434528,1,4
5,2,6,0.0,8,0.0,1,5
5,2,7,0.0,8,0.0,1,6
5,2,8,0.0,8,0.0,1,7
5,2,9,0.0,8,0.0,1,8
5,2,10,0.0,8,0.0,1,9
5,2,11,0.0,8,0.0,1,10
5,3,1,41079.95,8,345.4810090343751,2,0
5,3,2,18490.833,8,169.50251007005767,2,1
5,3,3,8612.6466,8,103.16407991897374,2,2
5,3,4,6990.606,8,87.80577258466552,2,3
5,3,5,7756.6478,8,92.19302710442098,2,4
5,3,6,1770.642,8,43.46442316297318,2,5
5,3,7,105.0284,8,10.906266969724333,2,6
5,3,8,0.0,8,0.0,2,7
5,3,9,0.0,8,0.0,2,8
5,3,10,0.0,8,0.0,2,9
5,3,11,0.0,8,0.0,2,10
