xq2_bin,z_bin0,pt2_bin0,phi_content_sum,phi_error_sum,phi_bin_count,z_bin,pt2_bin,spec_content,spec_error,_merge,diff_phi_minus_spec,ratio_phi_over_spec
11,5,5,0.0,0.0,8,5.0,5.0,0.0,0.0,both,0.0,
11,5,6,0.0,0.0,8,5.0,6.0,0.0,0.0,both,0.0,
11,5,7,0.0,0.0,8,5.0,7.0,0.0,0.0,both,0.0,
11,5,8,0.0,0.0,8,5.0,8.0,0.0,0.0,both,0.0,
11,5,9,0.0,0.0,8,5.0,9.0,0.0,0.0,both,0.0,
11,5,10,0.0,0.0,8,5.0,10.0,0.0,0.0,both,0.0,
11,6,0,34.8186,6.3773332063253525,8,6.0,0.0,97.9748,28.6142,both,-63.1562,0.3553832209915203
11,6,1,0.0,0.0,8,6.0,1.0,0.0,0.0,both,0.0,
11,6,2,0.0,0.0,8,6.0,2.0,0.0,0.0,both,0.0,
11,6,3,0.0,0.0,8,6.0,3.0,0.0,0.0,both,0.0,
11,6,4,0.0,0.0,8,6.0,4.0,0.0,0.0,both,0.0,
11,6,5,0.0,0.0,8,6.0,5.0,0.0,0.0,both,0.0,
11,6,6,0.0,0.0,8,6.0,6.0,0.0,0.0,both,0.0,
11,6,7,0.0,0.0,8,6.0,7.0,0.0,0.0,both,0.0,
11,6,8,0.0,0.0,8,6.0,8.0,0.0,0.0,both,0.0,
11,6,9,0.0,0.0,8,6.0,9.0,0.0,0.0,both,0.0,
11,6,10,0.0,0.0,8,6.0,10.0,0.0,0.0,both,0.0,
11,7,0,0.0,0.0,8,7.0,0.0,0.0,0.0,both,0.0,
11,7,1,0.0,0.0,8,7.0,1.0,0.0,0.0,both,0.0,
11,7,2,0.0,0.0,8,7.0,2.0,0.0,0.0,both,0.0,
11,7,3,0.0,0.0,8,7.0,3.0,0.0,0.0,both,0.0,
11,7,4,0.0,0.0,8,7.0,4.0,0.0,0.0,both,0.0,
11,7,5,0.0,0.0,8,7.0,5.0,0.0,0.0,both,0.0,
11,7,6,0.0,0.0,8,7.0,6.0,0.0,0.0,both,0.0,
11,7,7,0.0,0.0,8,7.0,7.0,0.0,0.0,both,0.0,
11,7,8,0.0,0.0,8,7.0,8.0,0.0,0.0,both,0.0,
11,7,9,0.0,0.0,8,7.0,9.0,0.0,0.0,both,0.0,
11,7,10,0.0,0.0,8,7.0,10.0,0.0,0.0,both,0.0,
12,0,0,16576.93,492.69732447314954,8,0.0,0.0,18166.8,6013.11,both,-1589.869999999999,0.9124848624964221
12,0,1,18903.511000000002,453.9202303429756,8,0.0,1.0,18882.3,4265.2,both,21.21100000000297,1.0011233271370545
12,0,2,15941.941,273.3524990061002,8,0.0,2.0,17269.1,2522.06,both,-1327.1589999999978,0.9231483400987893
12,0,3,9271.202000000001,179.1132388738197,8,0.0,3.0,9999.62,1228.14,both,-728.4179999999997,0.9271554319064125
12,0,4,5945.670999999999,110.90524881780844,8,0.0,4.0,6193.43,667.398,both,-247.75900000000092,0.9599964801410525
12,0,5,85.52590000000001,12.31574405901649,8,0.0,5.0,160.61,38.0759,both,-75.0841,0.5325066932320528
12,0,6,0.0,0.0,8,0.0,6.0,0.0,0.0,both,0.0,
12,0,7,0.0,0.0,8,0.0,7.0,0.0,0.0,both,0.0,
