ixq2,ipt,point,x,y,exl,exh,eyl,eyh
2,3,4,0.643966,0.286192,0,0,0.0279607,0.0279607
2,3,5,0.743303,0.172164,0,0,0.0183684,0.0183684
2,4,0,0.253524,2.10716,0,0,0.129332,0.129332
2,4,1,0.346767,1.18714,0,0,0.0587047,0.0587047
2,4,2,0.445916,0.675826,0,0,0.0424461,0.0424461
2,4,3,0.545667,0.381948,0,0,0.0247615,0.0247615
2,4,4,0.644263,0.244259,0,0,0.0187836,0.0187836
2,4,5,0.742149,0.143127,0,0,0.0149856,0.0149856
2,5,0,0.25936,1.0924,0,0,0.0796076,0.0796076
2,5,1,0.348332,0.717961,0,0,0.0413333,0.0413333
2,5,2,0.44654,0.455628,0,0,0.0236681,0.0236681
2,5,3,0.546224,0.279795,0,0,0.0157978,0.0157978
2,5,4,0.643304,0.170237,0,0,0.0129197,0.0129197
2,5,5,0.73968,0.0911554,0,0,0.0107653,0.0107653
2,6,0,0.269725,0.60406,0,0,0.0381928,0.0381928
2,6,1,0.349768,0.401525,0,0,0.0238385,0.0238385
2,6,2,0.448065,0.291798,0,0,0.01562,0.01562
2,6,3,0.545723,0.190261,0,0,0.0115907,0.0115907
2,6,4,0.643686,0.12563,0,0,0.0141527,0.0141527
2,6,5,0.737826,0.0682295,0,0,0.00724473,0.00724473
2,7,0,0.279474,0.262964,0,0,0.0211472,0.0211472
2,7,1,0.350501,0.210509,0,0,0.011027,0.011027
2,7,2,0.447563,0.164945,0,0,0.0103054,0.0103054
2,7,3,0.546715,0.12072,0,0,0.00776799,0.00776799
2,7,4,0.644086,0.0860216,0,0,0.0075136,0.0075136
2,7,5,0.733765,0.0355363,0,0,0.00545381,0.00545381
2,8,0,0.289162,0.135418,0,0,0.0444188,0.0444188
2,8,1,0.355183,0.0926756,0,0,0.00652225,0.00652225
2,8,2,0.449939,0.0827674,0,0,0.00541274,0.00541274
2,8,3,0.54624,0.0648621,0,0,0.00511118,0.00511118
2,8,4,0.643863,0.0454278,0,0,0.00371611,0.00371611
2,8,5,0.731,0.0161461,0,0,0.00215961,0.00215961
2,9,0,0.364938,0.0359823,0,0,0.00360954,0.00360954
2,9,1,0.449568,0.0368038,0,0,0.00282883,0.00282883
2,9,2,0.547562,0.0324087,0,0,0.00282443,0.00282443
2,9,3,0.643842,0.0219895,0,0,0.00163824,0.00163824
2,9,4,0.72382,0.0046825,0,0,0.00146969,0.00146969
3,0,0,0.253389,7.48974,0,0,1.72322,1.72322
3,0,1,0.34803,3.09219,0,0,0.292707,0.292707
3,0,2,0.448083,1.49164,0,0,0.111514,0.111514
3,0,3,0.547763,0.797229,0,0,0.066341,0.066341
3,0,4,0.64602,0.479182,0,0,0.0363193,0.0363193
3,0,5,0.743085,0.275787,0,0,0.0263585,0.0263585
3,1,0,0.252509,6.09444,0,0,1.03219,1.03219
3,1,1,0.347976,2.56856,0,0,0.234936,0.234936
3,1,2,0.446425,1.34527,0,0,0.0917728,0.0917728
3,1,3,0.546961,0.701016,0,0,0.0376213,0.0376213
3,1,4,0.646682,0.40165,0,0,0.0332585,0.0332585
3,1,5,0.742755,0.23303,0,0,0.0203778,0.0203778
3,2,0,0.254244,4.59757,0,0,0.547899,0.547899
3,2,1,0.346847,2.10214,0,0,0.138142,0.138142
3,2,2,0.446468,1.0787,0,0,0.085887,0.085887
3,2,3,0.545694,0.597696,0,0,0.0434338,0.0434338
3,2,4,0.645874,0.37562,0,0,0.0260677,0.0260677
3,2,5,0.741279,0.203099,0,0,0.0267432,0.0267432
3,3,0,0.257875,3.43556,0,0,0.381018,0.381018
3,3,1,0.347054,1.75042,0,0,0.0912193,0.0912193
3,3,2,0.446398,0.932947,0,0,0.0628657,0.0628657
3,3,3,0.545162,0.533225,0,0,0.0348689,0.0348689
3,3,4,0.64354,0.329114,0,0,0.0267439,0.0267439
3,3,5,0.740339,0.151793,0,0,0.0120471,0.0120471
3,4,0,0.260577,2.11816,0,0,0.196618,0.196618
3,4,1,0.349631,1.18204,0,0,0.0619561,0.0619561
3,4,2,0.44749,0.690052,0,0,0.0378106,0.0378106
3,4,3,0.545733,0.390312,0,0,0.020879,0.020879
3,4,4,0.644342,0.254219,0,0,0.0217208,0.0217208
3,4,5,0.736945,0.113003,0,0,0.0080144,0.0080144
3,5,0,0.268506,1.07166,0,0,0.0712559,0.0712559
3,5,1,0.352162,0.703411,0,0,0.0370795,0.0370795
3,5,2,0.447832,0.440103,0,0,0.0216253,0.0216253
3,5,3,0.546384,0.280028,0,0,0.0159277,0.0159277
3,5,4,0.643736,0.171494,0,0,0.0104607,0.0104607
3,5,5,0.731321,0.0727886,0,0,0.0103428,0.0103428
3,6,0,0.279325,0.518148,0,0,0.0680754,0.0680754
3,6,1,0.353067,0.367947,0,0,0.0218416,0.0218416
3,6,2,0.449039,0.280387,0,0,0.0132513,0.0132513
3,6,3,0.54653,0.186362,0,0,0.01086,0.01086
3,6,4,0.643138,0.110514,0,0,0.00833566,0.00833566
3,6,5,0.72842,0.0381325,0,0,0.00500704,0.00500704
3,7,0,0.28767,0.33088,0,0,0.112048,0.112048
3,7,1,0.35634,0.174138,0,0,0.0106889,0.0106889
3,7,2,0.449724,0.150572,0,0,0.00919797,0.00919797
3,7,3,0.547452,0.124355,0,0,0.00802588,0.00802588
3,7,4,0.643153,0.0736305,0,0,0.00556256,0.00556256
3,7,5,0.724599,0.0128207,0,0,0.0017758,0.0017758
3,8,0,0.364332,0.0801325,0,0,0.00778659,0.00778659
3,8,1,0.449394,0.0700021,0,0,0.00496084,0.00496084
3,8,2,0.546352,0.0588977,0,0,0.00571041,0.00571041
3,8,3,0.640918,0.0281183,0,0,0.00393308,0.00393308
3,8,4,0.715,0.00244015,0,0,0.000577886,0.000577886
3,9,0,0.375894,0.0259285,0,0,0.00714994,0.00714994
3,9,1,0.452414,0.0241366,0,0,0.00164883,0.00164883
3,9,2,0.546643,0.0215422,0,0,0.00152809,0.00152809
3,9,3,0.635556,0.0088392,0,0,0.00170966,0.00170966
4,0,0,0.261615,7.6925,0,0,1.87444,1.87444
4,0,1,0.349748,3.31537,0,0,0.328796,0.328796
4,0,2,0.44879,1.60477,0,0,0.111878,0.111878
4,0,3,0.548091,0.869458,0,0,0.0489147,0.0489147
4,0,4,0.644873,0.529564,0,0,0.0327492,0.0327492
4,0,5,0.73604,0.236734,0,0,0.0209162,0.0209162
4,1,0,0.261591,6.49756,0,0,1.24034,1.24034
4,1,1,0.350582,2.72775,0,0,0.205879,0.205879
4,1,2,0.447636,1.35962,0,0,0.0939638,0.0939638
4,1,3,0.546869,0.736551,0,0,0.0576042,0.0576042
4,1,4,0.644105,0.467266,0,0,0.0275948,0.0275948
4,1,5,0.733748,0.186689,0,0,0.0162473,0.0162473
4,2,0,0.262651,4.86994,0,0,0.668652,0.668652
4,2,1,0.349795,2.177,0,0,0.138268,0.138268
4,2,2,0.447806,1.16977,0,0,0.0667806,0.0667806
4,2,3,0.545703,0.636013,0,0,0.0417433,0.0417433
4,2,4,0.64365,0.369459,0,0,0.0233638,0.0233638
4,2,5,0.732903,0.133414,0,0,0.0167365,0.0167365
4,3,0,0.265621,3.40803,0,0,0.440034,0.440034
4,3,1,0.351026,1.7516,0,0,0.104241,0.104241
4,3,2,0.447565,0.947987,0,0,0.0552373,0.0552373
4,3,3,0.545578,0.554446,0,0,0.0341719,0.0341719
4,3,4,0.643943,0.30725,0,0,0.0212664,0.0212664
4,3,5,0.728164,0.0872151,0,0,0.0108778,0.0108778
4,4,0,0.267842,2.08696,0,0,0.261251,0.261251
4,4,1,0.353637,1.20375,0,0,0.0628333,0.0628333
4,4,2,0.44817,0.720059,0,0,0.0333446,0.0333446
4,4,3,0.545895,0.414685,0,0,0.0193094,0.0193094
4,4,4,0.64248,0.23571,0,0,0.0125167,0.0125167
4,4,5,0.722535,0.0523182,0,0,0.00479807,0.00479807
